pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2018-09-28,85.5,-3.5139,5.201,Jose Berrios,594953,621244,,swinging_strike,,,,,13.0,,R,L,R,MIN,CWS,S,,,0,1,2018,-1.0949,0.0196,-0.5419,0.9486,,,541645.0,0,6,Top,,,,,553902.0,,180928_194929,9.1644,-124.136,-3.7695,-13.047,23.503,-31.4675,3.4151,1.7747,,,,85.39,1570.0,6.221,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2783,,,,,,,,42,2,Changeup,1,1,1,1,1,1,1,1,Infield shift,Standard
FT,2018-09-28,95.6,-3.4875,5.3424,Jose Berrios,594953,621244,,called_strike,,,,,8.0,,R,L,R,MIN,CWS,S,,,0,0,2018,-1.6472,0.7291,-0.006,2.1278,,,541645.0,0,6,Top,,,,,553902.0,,180928_194907,12.8628,-138.6345,-4.4913,-24.0286,28.4227,-21.9801,3.5142,1.7747,,,,95.757,2345.0,6.384,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.1159,,,,,,,,42,1,2-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard
CU,2018-09-28,83.9,-3.6286,5.2224,Jose Berrios,541645,621244,walk,ball,,,,,14.0,Avisail Garcia walks.  ,R,R,R,MIN,CWS,B,,,3,1,2018,1.2247,-0.03,1.7719,1.1919,,,,0,6,Top,,,,,553902.0,,180928_194834,9.9934,-121.798,-2.8028,9.9738,23.7992,-32.1645,3.5142,1.7747,,,,82.856,2430.0,5.714,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.7851,,,0.7,1.0,0.0,0.0,,41,5,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,95.5,-3.3831,5.3898,Jose Berrios,541645,621244,,ball,,,,,13.0,,R,R,R,MIN,CWS,B,,,2,1,2018,-1.5285,0.9307,-1.4012,2.0955,,,,0,6,Top,,,,,553902.0,,180928_194815,8.6013,-138.7662,-5.0978,-21.5432,30.7579,-19.3095,3.5503,1.9238,,,,95.202,2268.0,6.175,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.324,,,,,,,,41,4,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,94.7,-3.4851,5.3135,Jose Berrios,541645,621244,,called_strike,,,,,6.0,,R,R,R,MIN,CWS,S,,,2,0,2018,-1.5275,0.8907,0.5779,2.5446,,,,0,6,Top,,,,,553902.0,,180928_194801,14.0021,-137.2527,-3.5206,-22.3758,28.9623,-20.3074,3.5503,1.8493,,,,94.741,2297.0,6.429,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.0702,,,,,,,,41,3,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,82.6,-3.6846,5.1938,Jose Berrios,541645,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,1,0,2018,1.2361,0.2318,1.025,1.1489,,,,0,6,Top,,,,,553902.0,,180928_194744,8.2749,-119.9899,-3.1018,10.1282,23.0066,-29.6244,3.5637,1.8741,,,,81.743,2355.0,5.785,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.7144,,,,,,,,41,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,82.2,-3.6296,5.146,Jose Berrios,541645,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,0,0,2018,1.4721,-0.082,0.9901,1.5414,,,,0,6,Top,,,,,553902.0,,180928_194717,7.586,-119.3913,-1.4111,12.2042,24.0801,-32.9125,3.5884,1.8493,,,,81.084,2415.0,5.741,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.759,,,,,,,,41,1,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,81.9,-3.5628,5.2196,Jose Berrios,544725,621244,field_out,hit_into_play,,,,,5.0,Leury Garcia grounds out softly to first baseman Tyler Austin.  ,R,L,R,MIN,CWS,X,3.0,ground_ball,0,1,2018,1.7273,0.0503,0.1816,2.7246,,,,2,5,Top,145.43,172.18,,,553902.0,,180928_193740,5.1372,-119.0317,0.8744,14.8133,24.5892,-32.1686,3.316,1.7001,4.0,58.4,-35.0,80.453,2429.0,5.537,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.9624,0.071,0.079,0.0,1.0,0.0,0.0,1.0,37,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,94.5,-3.561,5.2667,Jose Berrios,544725,621244,,foul,,,,,5.0,,R,L,R,MIN,CWS,S,,,0,0,2018,-1.5737,0.8625,-0.0368,2.5054,,,,2,5,Top,,,,,553902.0,,180928_193726,12.6027,-136.9997,-3.3551,-22.5187,30.5385,-20.8468,3.316,1.7747,287.0,90.1,40.8,93.997,2248.0,6.221,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2788,,,,,,,,37,1,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,95.5,-3.4544,5.3858,Jose Berrios,570560,621244,strikeout,swinging_strike,,,,,4.0,Yolmer Sanchez strikes out swinging.  ,R,L,R,MIN,CWS,S,2.0,,0,2,2018,-1.4638,0.8366,-0.4114,2.7971,,,,1,5,Top,,,,,553902.0,,180928_193649,11.1834,-138.5611,-3.0168,-21.1194,29.8302,-21.0518,3.3903,1.7995,,,,94.966,2252.0,6.059,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.4405,,,0.0,1.0,0.0,0.0,,36,4,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
